pathogen_name	taxonid	ARG_name	aro_id	frequency	antibiotic_name	drugclass	associated_MGE_type	associated_MGE_element
Staphylococcus aureus	1280	Tetracycline-resistant ribosomal protection protein	0000002	0.12148		Tetracycline antibiotic		
Staphylococcus aureus	1280	ATP-binding cassette (ABC) antibiotic efflux pump	0010001	0.999959				
Staphylococcus aureus	1280	Major facilitator superfamily (MFS) antibiotic efflux pump	0010002	0.999959				
Staphylococcus aureus	1280	Resistance-nodulation-cell division (RND) antibiotic efflux pump	0010004	0.989142				
Staphylococcus aureus	1280	Determinant of antibiotic resistance	3000000	0.999959				
Staphylococcus aureus	1280	Beta-lactamase	3000001	0.999959				
Staphylococcus aureus	1280	Class B (metallo-) beta-lactamase	3000004	0.999959				
Staphylococcus aureus	1280	VanH	3000006	0.00053		glycoPeptide antibiotic		
Staphylococcus aureus	1280	VanA	3000010	0.000544		glycoPeptide antibiotic	plasmid,transposon,IS	pSK41(rep13),pKQ10(rep14a),pRBWH1.3,ISMMS_VRE8_p3,pLW043(rep15),IS6,pHVH-V1836-2,pRUM(rep17),4,pRE25(rep2),pWZ909(rep1),pWBG745(rep24a),pVR-MSSA_01,Tn1546
Staphylococcus aureus	1280	VanX	3000011	0.000544		glycoPeptide antibiotic		
Staphylococcus aureus	1280	TEM beta-lactamase	3000014	0.000557	Ampicillin	Penam		
Staphylococcus aureus	1280	OXA beta-lactamase	3000017	0.000041	Cefalotin,ClOxacillin,Oxacillin	Cephalosporin,Penam		
Staphylococcus aureus	1280	MepA	3000026	0.998763	Tigecycline	Tetracycline antibiotic	plasmid,ICE	ICESauTCH1516-1,DOp1(repUS43),pWBG759(rep16),pBORa53(rep19),Tn6012,SAP059A(rep20),pN315(rep19),pSaa6159(rep16),pN315(rep5a),pSJH101(rep16),ICESauCOL-1,pBORa53(rep16),ICESauMu3-1,pSJH901(rep19),ICESauJKD6008-2,pTW20(rep20),SAP019A(rep19),pUB110(rep22),pS0385p1(rep7a),MSSA476(rep7c),pAMalpha1(rep22)
Staphylococcus aureus	1280	KPC beta-lactamase	3000059	0.000014		CarbaPenem,Cephalosporin,Monobactam,Penam		
Staphylococcus aureus	1280	VanS	3000071	0.00053		glycoPeptide antibiotic		
Staphylococcus aureus	1280	EmrB	3000074	0.999905		Fluoroquinolone antibiotic		
Staphylococcus aureus	1280	Class D beta-lactamase	3000075	0.000041				
Staphylococcus aureus	1280	VanY	3000077	0.000557		glycoPeptide antibiotic		
Staphylococcus aureus	1280	Class A beta-lactamase	3000078	0.836975				
Staphylococcus aureus	1280	Bla1	3000090	0.62852		Penam		
Staphylococcus aureus	1280	Multidrug and toxic compound extrusion (MATE) transporter	3000112	0.993314				
Staphylococcus aureus	1280	VanZ	3000116	0.000544		glycoPeptide antibiotic		
Staphylococcus aureus	1280	VgaB	3000118	0.000041	Dalfopristin,Virginiamycin M1	Streptogramin antibiotic	plasmid,IS	pJE1(rep5d),IS6
Staphylococcus aureus	1280	Aminoglycoside acetyltransferase (AAC)	3000121	0.000027				
Staphylococcus aureus	1280	Chloramphenicol acetyltransferase (CAT)	3000122	0.019583		Phenicol antibiotic		
Staphylococcus aureus	1280	MecI	3000124	0.146105		CarbaPenem,Cephalosporin,Cephamycin,Monobactam,Penam	plasmid,ICE,IS	pSK41(rep13),pTW20(rep20),SAP015B(repUS22),IS30,pUB110(rep22),pSK108(rep21),IS6,Tn6012,MSSA476(rep7c),pS0385p1(rep7a),pGO1(rep21),pAMalpha1(rep22),pSJH901(rep19),pSJH101(rep16),pLW043(rep15)
Staphylococcus aureus	1280	APH(3')	3000126	0.294996		Aminoglycoside antibiotic		
Staphylococcus aureus	1280	APH(6)	3000151	0.000027		Aminoglycoside antibiotic		
Staphylococcus aureus	1280	Tet(A)	3000165	0.000014	Tetracycline	Tetracycline antibiotic		
Staphylococcus aureus	1280	Tet(C)	3000167	0.000136	Tetracycline	Tetracycline antibiotic		
Staphylococcus aureus	1280	Tet(K)	3000178	0.119578	Tetracycline	Tetracycline antibiotic	plasmid,IS	SAP060B(rep7a),pPM1(rep19),pUSA02(rep7a),SAP015B(repUS22),pST75(rep19),pWBG759(rep16),pLW043(rep15),pZY05,pGB354(rep7a),pSAU071,pCOL52-A5,pWBG745(rep24a),pN315(rep19),3,pV2200,SAP071A(rep16),pGR2A,SAP105B(rep20),pSepCH(rep13),pS0385-1,pUB110(repUS12),pNRS384_1,pN315(rep5a),rep(CN1(rep21),pSJH101(rep16),pK34-7-1,SAP074A(rep20),pSEP1,p_3_95,pUTI-056-3,pWB224_2,SAP071A(rep21),pWBG753(rep20),pDLK1(rep10),pSTA492,pCFSAN007850,pLUG10(rep7a),pSJH901(rep19),pT181,pSSP1(rep13),4,pM013,pSE-12228-01,pPS00119.1A.1,SAP105A(rep19b),SAP089A(rep7b),Cassette(rep7a),pSALNT4.9,pTW20(rep20),pSR02,pSK156(rep19),pK214(rep7a),pPS00120.1A.1,pSBK203(rep7a),pC194(rep13),pS0385p1(rep7a),IS6,pKH1(rep7a),p11819p97(rep20)
Staphylococcus aureus	1280	Tet(L)	3000179	0.000313	Tetracycline	Tetracycline antibiotic	plasmid	pSULI,pSALNP9,pUB110(rep22),pAMalpha1(rep22),pSTE1(repUS18),pSA8589(repUS18)
Staphylococcus aureus	1280	Tet(M)	3000186	0.12235	Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline	Tetracycline antibiotic	plasmid,transposon,ICE	ICESauTW20-2,DOp1(repUS43),Tn5801(B6),ICESauT0131-2,pLW043(rep15),Tn925,ICESauST398-1,Tn6198,ICESga43143-1,Tn5801-like,Tn5251,ICESpsHKU1003-1,ICESsu(BM407)1,ICE_COH1_guaA,ICESauMu3-1,pKUB3007-3,Tn6224,ICESauJKD6008-2,pTW20(rep20),ICESpnDCC1738,Tn916(RST11),pUB110(rep22),pS0385p1(rep7a),MSSA476(rep7c),pAMalpha1(rep22),Tn5251(partofTn5253),ICEFal35896-1
Staphylococcus aureus	1280	Tet(O)	3000190	0.122228	Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline	Tetracycline antibiotic		
